asn_org,unique_ips,provider_count,asn_count,country_count,top_providers
"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",122,4,1,1,Sentinel dVPN (84); Psiphon (30); Astrill (4); VPN Jantit (4)
CYBERZONEHUB,119,1,1,58,Surfshark (119)
UK2NET-AS,119,14,1,5,ExpressVPN (27); IPVanish (20); WLVPN (20); Mullvad (17); Astrill (9); GhostPath (8); Windscribe (7); TunnelBear (5); SlickVPN (2); TorGuard (2)
VOXILITY,119,7,1,2,IPVanish (47); WLVPN (47); Vpnht (13); PureVPN (5); Psiphon (4); StrongVPN (2); Ivacy (1)
SECFIREWALLAS,118,2,1,2,ExpressVPN (104); Private Internet Access (14)
Online SAS,114,24,1,1,VPN Unlimited (19); Psiphon (16); Vpnht (15); Riseup VPN (13); VPN.ac (10); WiTopia (10); EasyHideIP (5); FrootVPN (5); NordVPN (5); Anonine (4)
SERVER-MANIA,113,6,1,1,IPVanish (35); WLVPN (35); Astrill (33); StrongVPN (8); TorGuard (1); Zoogvpn (1)
AS-INCX,110,7,1,1,IPVanish (40); WLVPN (40); Windscribe (18); StrongVPN (6); Astrill (3); Surfshark (3); Sentinel dVPN (2)
NFORCE,110,9,1,1,IPVanish (39); WLVPN (39); ProtonVPN (10); BTGuard (7); VPN.ac (7); Astrill (3); Cryptostorm (2); Smartdnsproxy (2); Zoogvpn (1)
PHMGMT-AS1,108,2,1,1,Giganews (54); VyprVPN (54)
THE,101,8,1,13,VPN Unlimited (43); WorldVPN (14); AnonymousVPN (13); FlowVPN (9); VPNUK (8); Kompot VPN (5); VPN Jantit (5); Zoogvpn (4)
AS-GLOBALTELEHOST,91,15,2,3,Astrill (35); Anonine (32); BoxPN (32); EasyHideIP (32); FrootVPN (32); Windscribe (6); VPN Jantit (5); TorGuard (3); Zoogvpn (3); HideIPVPN (2)
BIP-AS BIP Backbone ASN,89,1,1,1,Privado (89)
QUINTEX,88,1,1,1,AirVPN (88)
HETZNER-AS,87,6,1,2,WorldVPN (62); Sentinel dVPN (16); Astrill (3); CactusVPN (2); HideIPVPN (2); uVPN (2)
AS40676 - Psychz Networks,81,14,1,1,Astrill (36); VPN.ac (8); Windscribe (6); WiTopia (5); Zoogvpn (5); ExpressVPN (4); VPN Unlimited (4); Sentinel dVPN (3); VPN Jantit (3); FastestVPN (2)
OBEHOSTING Obehosting AB,81,3,1,1,OVPN (68); AzireVPN (7); PrivateVPN (6)
GBNETWORK-AS-AP GB Network Solutions Sdn. Bhd.,78,5,1,9,PureVPN (47); IPVanish (11); WLVPN (11); Ivacy (8); StrongVPN (3)
DEDICATED,77,6,1,1,AirVPN (40); WiTopia (20); Astrill (9); VPN Unlimited (5); FastestVPN (2); AzireVPN (1)
NETPROTECT-PHX,76,3,1,1,IPVanish (34); WLVPN (34); StrongVPN (8)
NETROUTING-AS,72,4,1,1,AirVPN (64); AzireVPN (4); VPN Unlimited (3); Kompot VPN (1)
TEKNIKBYRAN,72,1,1,1,AirVPN (72)
AS41564,71,7,1,1,CyberGhost (34); Windscribe (13); NordVPN (10); ExpressVPN (6); Private Internet Access (5); ProtonVPN (2); Psiphon (1)
HOSTHATCH,67,6,1,7,WorldVPN (38); Sentinel dVPN (16); AzireVPN (6); FlowVPN (4); KevinVPN (2); AnonymousVPN (1)
TRABIA,66,14,1,1,CyberGhost (19); IPVanish (10); WLVPN (10); Windscribe (6); Astrill (4); PureVPN (4); NordVPN (3); TorGuard (3); ExpressVPN (2); Private Internet Access (2)
NEXEON,65,5,1,1,NordVPN (39); Sentinel dVPN (14); TorGuard (7); Astrill (4); Surfshark (1)
SOFTLAYER,64,2,1,1,Astrill (63); FlowVPN (1)
WORLDSTREAM,60,4,1,1,ProtonVPN (50); Astrill (7); Trust.Zone (2); Freevpn (1)
CLOUDSINGULARITY,59,4,1,1,AirVPN (48); Mullvad (8); IVPN (2); AzireVPN (1)
INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD,59,10,1,1,Windscribe (18); VPN.ac (10); WiTopia (9); AirVPN (8); TorGuard (7); PrivateVPN (3); GhostPath (2); PureVPN (1); Sentinel dVPN (1); Trust.Zone (1)
IST-AS,59,7,1,1,CyberGhost (38); Astrill (8); WiTopia (5); ExpressVPN (3); Private Internet Access (3); ProtonVPN (1); Zoogvpn (1)
CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,58,16,1,1,IPVanish (14); WLVPN (14); Mullvad (6); Anonine (5); Astrill (5); BoxPN (5); EasyHideIP (5); FrootVPN (5); WiTopia (4); TorGuard (3)
PACKETEXCHANGE,57,7,1,2,CyberGhost (35); Private Internet Access (6); Windscribe (6); NordVPN (5); Cryptostorm (2); ExpressVPN (2); ProtonVPN (1)
HURRICANE,56,3,1,1,Astrill (54); NetShade (1); Sentinel dVPN (1)
PLI-AS,56,18,1,2,Kompot VPN (13); SwitchVPN (9); Windscribe (9); Anonine (5); BoxPN (5); EasyHideIP (5); FrootVPN (5); Mullvad (4); WiTopia (4); Astrill (3)
IOMART-AS,51,14,1,2,VPNUK (14); Anonine (5); BoxPN (5); FlowVPN (5); HideIPVPN (5); WiTopia (5); CactusVPN (4); VPN Unlimited (3); VPN.ac (3); Cryptostorm (2)
AkileCloud Network,50,1,1,1,Sentinel dVPN (50)
FDCSERVERS,50,6,1,2,Astrill (36); Proxpn (8); VPN Unlimited (3); Anonvpn (1); CactusVPN (1); GhostPath (1)
"KEMINET A datacenter located in TiranaAlbania. Webhosting, Dedicated Servers, VPS, IPv4IPv6 leasing",50,11,1,1,CyberGhost (15); IPVanish (7); WLVPN (7); Mullvad (4); PureVPN (4); ExpressVPN (3); Private Internet Access (3); Windscribe (3); ProtonVPN (2); Ivacy (1)
